date,adj_close,adj_factor,adj_high,adj_low,adj_open,adj_volume,close,ex_dividend,high,low,open,split_ratio,volume
2018-03-16,177.333571730404,1.0,178.429330234524,176.935114092542,177.961142510036,39404688.0,178.02,0.0,179.12,177.62,178.65,1.0,39404688.0
2018-03-15,177.961142510036,1.0,179.545011620537,177.383478549546,177.811720895838,22743798.0,178.65,0.0,180.24,178.0701,178.5,1.0,22743798.0
2018-03-14,177.751952250158,1.0,179.82393196704,177.124381470526,179.624703148109,29368356.0,178.44,0.0,180.52,177.81,180.32,1.0,29368356.0
2018-03-13,179.27605271498,1.0,182.792441369111,178.548867525882,181.885950242975,31693529.0,179.97,0.0,183.5,179.24,182.59,1.0,31693529.0
2018-03-12,181.019304880625,1.0,181.686721424044,179.515127297697,179.594818825269,32207081.0,181.72,0.0,182.39,180.21,180.29,1.0,32207081.0
2018-03-09,179.286014155926,1.0,179.30593703782,176.706000950771,177.273803084724,32185162.0,179.98,0.0,180.0,177.39,177.96,1.0,32185162.0
2018-03-08,176.257736108177,1.0,176.437042045214,174.394946651173,174.803365729981,23774107.0,176.94,0.0,177.12,175.07,175.48,1.0,23774107.0
2018-03-07,174.355100887386,1.0,175.171939045003,173.598031375449,174.265447918868,31703462.0,175.03,0.0,175.85,174.27,174.94,1.0,31703462.0
2018-03-06,175.98877720262,1.0,177.562684872174,175.450859391506,177.223995879992,23788506.0,176.67,0.0,178.25,176.13,177.91,1.0,23788506.0
2018-03-05,176.138198816818,1.0,177.0546513839,173.847067399113,174.534406824424,28401366.0,176.82,0.0,177.74,174.52,175.21,1.0,28401366.0
2018-03-02,175.530550919079,1.0,175.620203887598,171.785049123178,172.133699556307,38453950.0,176.21,0.0,176.3,172.45,172.8,1.0,38453950.0
2018-03-01,174.325216564547,1.0,179.081804616522,171.994239383055,177.851566659624,48801970.0,175.0,0.0,179.775,172.66,178.54,1.0,48801970.0
2018-02-28,177.433186139869,1.0,179.918565656032,177.363456053243,178.568790407775,37782138.0,178.12,0.0,180.615,178.05,179.26,1.0,37782138.0
2018-02-27,177.702145045426,1.0,179.784086203254,177.473031903655,178.40940735263,38928125.0,178.39,0.0,180.48,178.16,179.1,1.0,38928125.0
2018-02-26,178.279908620325,1.0,178.69828914008,175.530550919079,175.67001109233,38162174.0,178.97,0.0,179.39,176.21,176.35,1.0,38162174.0
2018-02-23,174.823288611874,1.0,174.972710226072,172.870846186351,173.000344918656,33812360.0,175.5,0.0,175.65,173.54,173.67,1.0,33812360.0
2018-02-22,171.83485632791,1.0,173.27926526516,171.047902493133,171.137555461652,30991940.0,172.5,0.0,173.95,171.71,171.8,1.0,30991940.0
2018-02-21,170.410370272554,1.0,173.448609761251,170.350601626875,172.163583879146,37471623.0,171.07,0.0,174.12,171.01,172.83,1.0,37471623.0
2018-02-20,171.187362666385,1.0,173.588069934502,170.759020705683,171.386591485316,33930540.0,171.85,0.0,174.26,171.42,172.05,1.0,33930540.0
2018-02-16,171.765126241285,1.0,174.145910627509,171.107671138813,171.695396154659,40176091.0,172.43,0.0,174.82,171.77,172.36,1.0,40176091.0
2018-02-15,172.322966934291,1.0,172.422581343757,168.348351996619,169.135305831397,51147171.0,172.99,0.0,173.09,169.0,169.79,1.0,51147171.0
2018-02-14,166.724637122333,1.0,166.893981618424,162.251950137334,162.416313912952,40644933.0,167.37,0.0,167.54,162.88,163.045,1.0,40644933.0
2018-02-13,163.706320515529,1.0,164.114739594338,161.026692900909,161.325536129305,32549163.0,164.34,0.0,164.75,161.65,161.95,1.0,32549163.0
2018-02-12,162.082605641242,1.0,163.258055672935,156.902656349039,157.888839002747,60819539.0,162.71,0.0,163.89,157.51,158.5,1.0,60819539.0
2018-02-09,155.806897844919,0.995988283239939,157.281191105007,149.6606887809,156.464352947391,70672608.0,156.41,0.63,157.89,150.24,157.07,1.0,70672608.0
2018-02-08,153.931738414666,1.0,159.735803317829,153.812680673063,159.031378346676,54390516.0,155.15,0.0,161.0,155.03,160.29,1.0,54390516.0
2018-02-07,158.287267461655,1.0,162.116958149896,157.819469751939,161.804431578187,51608580.0,159.54,0.0,163.4,159.0685,163.085,1.0,51608580.0
2018-02-06,161.749863446619,1.0,162.434445460839,152.790768390967,153.614251103724,68243838.0,163.03,0.0,163.72,154.0,154.83,1.0,68243838.0
2018-02-05,155.261216529237,1.0,162.59318911631,154.775064084356,157.85072240911,72738522.0,156.49,0.0,163.88,156.0,159.1,1.0,72738522.0
2018-02-02,159.239729394482,1.0,165.490260828658,158.842870255804,164.696542551302,86593825.0,160.5,0.0,166.8,160.1,166.0,1.0,86593825.0
2018-02-01,166.462565718419,1.0,167.295969909642,165.45057491479,165.852394792701,47230787.0,167.78,0.0,168.62,166.76,167.165,1.0,47230787.0
2018-01-31,166.115313972075,1.0,167.119069948576,165.192616474649,165.559711177927,32478930.0,167.43,0.0,168.4417,166.5,166.87,1.0,32478930.0
2018-01-30,165.658925962596,1.0,166.055785101274,163.406750350599,164.225272324122,46048185.0,166.97,0.0,167.37,164.7,165.525,1.0,46048185.0
2018-01-29,166.641152330824,1.0,168.823877593552,165.758140747265,168.823877593552,50640406.0,167.96,0.0,170.16,167.07,170.16,1.0,50640406.0
2018-01-26,170.163277186589,1.0,170.64942963147,168.724662808882,170.64942963147,39143011.0,171.51,0.0,172.0,170.06,172.0,1.0,39143011.0
2018-01-25,169.766418047912,1.0,173.576265779219,169.190972296829,173.13475998744,41529004.0,171.11,0.0,174.95,170.53,174.505,1.0,41529004.0
2018-01-24,172.851997851132,1.0,175.907813218951,171.840007047503,175.858205826616,51105090.0,174.22,0.0,177.3,173.2,177.25,1.0,51105090.0
2018-01-23,175.64985477881,1.0,178.031009610878,175.431582252538,175.907813218951,32689146.0,177.04,0.0,179.44,176.82,177.3,1.0,32689146.0
2018-01-22,175.610168864943,1.0,176.384044185365,175.21489716282,175.907813218951,27108551.0,177.0,0.0,177.78,176.6016,177.3,1.0,27108551.0
2018-01-19,177.058704721117,1.0,178.169910309415,176.016949482088,177.207526898121,32425067.0,178.46,0.0,179.58,177.41,178.61,1.0,32425067.0
2018-01-18,177.852422998472,1.0,178.685827189696,176.850353673311,177.961559261609,31193352.0,179.26,0.0,180.1,178.25,179.37,1.0,31193352.0
2018-01-17,177.693679343001,1.0,177.842501520006,173.695323520822,174.766843195252,34386836.0,179.1,0.0,179.25,175.07,176.15,1.0,34386836.0
2018-01-16,174.80652910912,1.0,177.981402218543,174.756921716785,176.503101926968,29565947.0,176.19,0.0,179.39,176.14,177.9,1.0,29565947.0
2018-01-12,175.699462171145,1.0,175.967342089753,174.270769271905,174.796607630653,25418080.0,177.09,0.0,177.36,175.65,176.18,1.0,25418080.0
2018-01-11,173.903674568628,1.0,174.110636609449,173.119877769739,173.219092554409,18667729.0,175.28,0.0,175.4886,174.49,174.59,1.0,18667729.0
2018-01-10,172.9214482004,1.0,172.931369678867,171.641577478164,171.800321133635,23959895.0,174.29,0.0,174.3,173.0,173.16,1.0,23959895.0
2018-01-09,172.961134114268,1.0,173.685402042355,172.048358095309,173.179406640541,21583997.0,174.33,0.0,175.06,173.41,174.55,1.0,21583997.0
2018-01-08,172.980977071202,1.0,174.231083358037,172.56427497559,172.980977071202,20567766.0,174.35,0.0,175.61,173.93,174.35,1.0,20567766.0
2018-01-05,173.625873171554,1.0,173.992967874831,171.691184870499,172.07812253071,23660018.0,175.0,0.0,175.37,173.05,173.44,1.0,23660018.0
2018-01-04,171.671341913565,1.0,172.107886966111,170.728801459205,171.185189468685,22434597.0,173.03,0.0,173.47,172.08,172.54,1.0,22434597.0
2018-01-03,170.87762363621,1.0,173.179406640541,170.609743717602,171.175267990218,29517899.0,172.23,0.0,174.55,171.96,172.53,1.0,29517899.0
2018-01-02,170.90738807161,1.0,170.947073985478,167.930944531527,168.823877593552,25555934.0,172.26,0.0,172.3,169.26,170.16,1.0,25555934.0
2017-12-29,167.901180096126,1.0,169.25050116763,167.891258617659,169.181050818362,25999922.0,169.23,0.0,170.59,169.22,170.52,1.0,25999922.0
2017-12-28,169.736653612511,1.0,170.500607454466,169.141364904494,169.657281784775,16480187.0,171.08,0.0,171.85,170.48,171.0,1.0,16480187.0
2017-12-27,169.260422646097,1.0,169.439009258502,168.377411062539,168.76434872275,21498213.0,170.6,0.0,170.78,169.71,170.1,1.0,21498213.0
2017-12-26,169.230658210697,1.0,170.123591272722,168.346654479292,169.458852215436,33185536.0,170.57,0.0,171.47,169.679,170.8,1.0,33185536.0
2017-12-22,173.63579465002,1.0,174.046543858552,173.129799248206,173.308385860611,16349444.0,175.01,0.0,175.424,174.5,174.68,1.0,16349444.0
2017-12-21,173.63579465002,1.0,174.637863975182,172.732940109528,172.802390458797,20949896.0,175.01,0.0,176.02,174.1,174.17,1.0,20949896.0
2017-12-20,172.980977071202,1.0,174.042575267165,171.889614439838,173.496893951483,23475649.0,174.35,0.0,175.42,173.25,174.87,1.0,23475649.0
2017-12-19,173.169485162074,1.0,174.012810831764,172.723018631061,173.655637606954,27436447.0,174.54,0.0,175.39,174.09,175.03,1.0,27436447.0
2017-12-18,175.03472311386,1.0,175.808598434282,173.486972473016,173.50681542995,29421114.0,176.42,0.0,177.2,174.86,174.88,1.0,29421114.0
2017-12-15,172.603960889458,1.0,172.802390458797,171.105817640949,172.266630621582,40169307.0,173.97,0.0,174.17,172.46,173.63,1.0,40169307.0
2017-12-14,170.867702157743,1.0,171.770556698235,170.302177885127,171.046288770148,20476541.0,172.22,0.0,173.13,171.65,172.4,1.0,20476541.0
2017-12-13,170.917309550077,1.0,172.177337315379,170.64942963147,171.145503554817,23818447.0,172.27,0.0,173.54,172.0,172.5,1.0,23818447.0
2017-12-12,170.351785277461,1.0,171.036367291681,170.114661942101,170.798251808474,19409230.0,171.7,0.0,172.39,171.461,172.15,1.0,19409230.0
2017-12-11,171.314168688755,1.0,171.532441215028,167.46463504358,167.871415660725,35273759.0,172.67,0.0,172.89,168.79,169.2,1.0,35273759.0
2017-12-08,168.040080794663,1.0,169.657281784775,167.494399478981,169.151286382961,23355231.0,169.37,0.0,171.0,168.82,170.49,1.0,23355231.0
2017-12-07,167.990473402328,1.0,169.101678990626,167.583692785183,167.702750526787,25673308.0,169.32,0.0,170.44,168.91,169.03,1.0,25673308.0
2017-12-06,167.682907569853,1.0,168.868226602299,165.152930560782,166.184764321344,28560000.0,169.01,0.0,170.2047,166.46,167.5,1.0,28560000.0
2017-12-05,168.307960713271,1.0,170.173198665056,167.077697383369,167.732514962188,27350154.0,169.64,0.0,171.52,168.4,169.06,1.0,27350154.0
2017-12-04,168.466704368742,1.0,171.26456129642,168.298039234804,171.125660597883,32542385.0,169.8,0.0,172.62,169.63,172.48,1.0,32542385.0
2017-12-01,169.70688917711,1.0,170.322020842061,167.176912168039,168.615526545746,39759288.0,171.05,0.0,171.67,168.5,169.95,1.0,39759288.0
2017-11-30,170.500607454466,1.0,170.788330330007,167.117383297237,169.091757512159,41527218.0,171.85,0.0,172.14,168.44,170.43,1.0,41527218.0
2017-11-29,168.149217057799,1.0,171.562205650429,165.847434053468,171.274482774887,41666364.0,169.48,0.0,172.92,167.16,172.63,1.0,41666364.0
2017-11-28,171.711027827433,1.0,173.496893951483,170.510528932933,172.931369678867,26428802.0,173.07,0.0,174.87,171.86,174.3,1.0,26428802.0
2017-11-27,172.723018631061,1.0,173.705244999289,171.978907746041,173.675480563888,20716802.0,174.09,0.0,175.08,173.34,175.05,1.0,20716802.0
2017-11-24,173.596108736153,1.0,174.121947094901,173.274553619039,173.725087956223,14026673.0,174.97,0.0,175.5,174.6459,175.1,1.0,14026673.0
2017-11-22,173.586187257686,1.0,173.625873171554,171.691184870499,171.998750702974,25588925.0,174.96,0.0,175.0,173.05,173.36,1.0,25588925.0
2017-11-21,171.780478176702,1.0,172.336080970851,169.439009258502,169.439009258502,25131295.0,173.14,0.0,173.7,170.78,170.78,1.0,25131295.0
2017-11-20,168.645290981147,1.0,169.22073673223,168.228588885535,168.952856813622,16262447.0,169.98,0.0,170.56,169.56,170.29,1.0,16262447.0
2017-11-17,168.813956115085,1.0,170.044219444986,168.307960713271,169.696967698643,21899544.0,170.15,0.0,171.39,169.64,171.04,1.0,21899544.0
2017-11-16,169.756496569445,1.0,170.520450411399,168.962778292089,169.83586839718,23637484.0,171.1,0.0,171.87,170.3,171.18,1.0,23637484.0
2017-11-15,167.752357919122,1.0,168.982323604669,167.057854426435,168.63536950268,29158070.0,169.08,0.0,170.3197,168.38,169.97,1.0,29158070.0
2017-11-14,169.994612052651,1.0,172.117808444578,169.83586839718,171.681263392032,24782487.0,171.34,0.0,173.48,171.18,173.04,1.0,24782487.0
